DATE,MIN_TEMPR,ELECTRIC_PROD,BEER_PROD
1985-01-01,20.7,72.5052,93.2
1985-02-01,17.9,70.672,96.0
1985-03-01,18.8,62.4502,95.2
1985-04-01,14.6,57.4714,77.1
1985-05-01,15.8,55.3151,70.9
1985-06-01,15.8,58.0904,64.8
1985-07-01,15.8,62.6202,70.1
1985-08-01,17.4,63.2485,77.3
1985-09-01,21.8,60.5846,79.5
1985-10-01,20,56.3154,100.6
1985-11-01,16.2,58.0005,100.7
1985-12-01,13.3,68.7145,107.1
1986-01-01,16.7,73.3057,95.9
1986-02-01,21.5,67.9869,82.8
1986-03-01,25,62.2221,83.3
1986-04-01,20.7,57.0329,80.0
1986-05-01,20.6,55.8137,80.4
1986-06-01,24.8,59.9005,67.5
1986-07-01,17.7,65.7655,75.7
1986-08-01,15.5,64.4816,71.1
1986-09-01,18.2,61.0005,89.3
1986-10-01,12.1,57.5322,101.1
1986-11-01,14.4,59.3417,105.2
1986-12-01,16,68.1354,114.1
1987-01-01,16.5,73.8152,96.3
1987-02-01,18.7,70.062,84.4
1987-03-01,19.4,65.61,91.2
1987-04-01,17.2,60.1586,81.9
1987-05-01,15.5,58.8734,80.5
1987-06-01,15.1,63.8918,70.4
1987-07-01,15.4,68.8694,74.8
1987-08-01,15.3,70.0669,75.9
1987-09-01,18.8,64.1151,86.3
1987-10-01,21.9,60.3789,98.7
1987-11-01,19.9,62.4643,100.9
1987-12-01,16.6,70.5777,113.8
1988-01-01,16.8,79.8703,89.8
1988-02-01,14.6,76.1622,84.4
1988-03-01,17.1,70.2928,87.2
1988-04-01,25,63.2384,85.6
1988-05-01,15,61.4065,72.0
1988-06-01,13.7,67.1097,69.2
1988-07-01,13.9,72.9816,77.5
1988-08-01,18.3,75.7655,78.1
1988-09-01,22,67.5152,94.3
1988-10-01,22.1,63.2832,97.7
1988-11-01,21.2,65.1078,100.2
1988-12-01,18.4,73.8631,116.4
1989-01-01,16.6,77.9188,97.1
1989-02-01,16.1,76.6822,93.0
1989-03-01,15.7,73.3523,96.0
1989-04-01,16.6,65.1081,80.5
1989-05-01,16.5,63.6892,76.1
1989-06-01,14.4,68.4722,69.9
1989-07-01,14.4,74.0301,73.6
1989-08-01,18.5,75.0448,92.6
1989-09-01,16.9,69.3053,94.2
1989-10-01,17.5,65.8735,93.5
1989-11-01,21.2,69.0706,108.5
1989-12-01,17.8,84.1949,109.4
1990-01-01,18.6,84.3598,105.1
1990-02-01,17,77.1726,92.5
1990-03-01,16,73.1964,97.1
1990-04-01,13.3,67.2781,81.4
1990-05-01,14.3,65.8218,79.1
1990-06-01,11.4,71.4654,72.1
1990-07-01,16.3,76.61399999999999,78.7
1990-08-01,16.1,77.1052,87.1
1990-09-01,11.8,73.061,91.4
1990-10-01,12.2,67.4365,109.9
1990-11-01,14.7,68.5665,116.3
1990-12-01,11.8,77.6839,113.0
1991-01-01,11.3,86.0214,100.0
1991-02-01,10.6,77.5573,84.8
1991-03-01,11.7,73.365,94.3
1991-04-01,14.2,67.15,87.1
1991-05-01,11.2,68.8162,90.3
1991-06-01,16.9,74.8448,72.4
1991-07-01,16.7,80.0928,84.9
1991-08-01,8.1,79.1606,92.7
1991-09-01,8,73.5743,92.2
1991-10-01,8.8,68.7538,114.9
1991-11-01,13.4,72.5166,112.5
1991-12-01,10.9,79.4894,118.3
1992-01-01,13.4,85.2855,106.0
1992-02-01,11,80.1643,91.2
1992-03-01,15,74.5275,96.6
1992-04-01,15.7,69.6441,96.3
1992-05-01,14.5,67.1784,88.2
1992-06-01,15.8,71.2078,70.2
1992-07-01,16.7,77.5081,86.5
1992-08-01,16.8,76.5374,88.2
1992-09-01,17.5,72.3541,102.8
1992-10-01,17.1,69.0286,119.1
1992-11-01,18.1,73.4992,119.2
1992-12-01,16.6,84.5159,125.1
1993-01-01,10,87.9464,106.1
1993-02-01,14.9,84.5561,102.1
1993-03-01,15.9,79.4747,105.2
1993-04-01,13,71.0578,101.0
1993-05-01,7.6,67.6762,84.3
1993-06-01,11.5,74.3297,87.5
1993-07-01,13.5,82.1048,92.7
1993-08-01,13,82.0605,94.4
1993-09-01,13.3,74.6031,113.0
1993-10-01,12.1,69.681,113.9
1993-11-01,12.4,74.4292,122.9
1993-12-01,13.2,84.2284,132.7
1994-01-01,13.8,94.1386,106.9
1994-02-01,10.6,87.1607,96.6
1994-03-01,9,79.2456,127.3
1994-04-01,10,70.9749,98.2
1994-05-01,9.8,69.3844,100.2
